KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 27:34	And when Esau heard the words of his father, he cried with a great and exceeding bitter cry, and said unto his father, 
Genesis 27:35	And he said,


Genesis 27:36	And he said, 
Genesis 27:37	And Isaac answered and said unto Esau,

Genesis 27:38	And Esau said unto his father, Hast thou but one blessing, my father? bless me, [even] me also, O my father. And Esau lifted up his voice, and wept.
Genesis 27:39	And Isaac his father answered and said unto him, Behold, thy dwelling shall be the fatness of the earth, and of the dew of heaven from above;
Genesis 27:40	And by thy sword shalt thou live, and shalt serve thy brother; and it shall come to pass when thou shalt have the dominion, that thou shalt break his yoke from off thy neck.
Genesis 27:41	And Esau hated Jacob because of the blessing wherewith his father blessed him: and Esau said in his heart, 
Genesis 27:42	And these words of Esau her elder son were told to Rebekah: and she sent and called Jacob her younger son, and said unto him,

Genesis 27:46	And Rebekah said to Isaac, 
Genesis 28:1	And Isaac called Jacob, and blessed him, and charged him, and said unto him, 
Genesis 28:5	And Isaac sent away Jacob: and he went to Padanaram unto Laban, son of Bethuel the Syrian, the brother of Rebekah, Jacob’s and Esau’s mother.
Genesis 28:6	When Esau saw that Isaac had blessed Jacob, and sent him away to Padanaram, to take him a wife from thence; and that as he blessed him he gave him a charge, saying, Thou shalt not take a wife of the daughters of Canaan;
Genesis 28:7	And that Jacob obeyed his father and his mother, and was gone to Padanaram;
Genesis 28:8	And Esau seeing that the daughters of Canaan pleased not Isaac his father;
Genesis 28:9	Then went Esau unto Ishmael, and took unto the wives which he had Mahalath the daughter of Ishmael Abraham’s son, the sister of Nebajoth, to be his wife.
Genesis 28:10	And Jacob went out from Beersheba, and went toward Haran.
Genesis 28:11	And he lighted upon a certain place, and tarried there all night, because the sun was set; and he took of the stones of that place, and put [them for] his pillows, and lay down in that place to sleep.
Genesis 28:12	And he dreamed, and behold a ladder set up on the earth, and the top of it reached to heaven: and behold the angels of God ascending and descending on it.
Genesis 28:13	And, behold, the LORD stood above it, and said, 
Genesis 28:16	And Jacob awaked out of his sleep, and he said, 

Genesis 28:18	And Jacob rose up early in the morning, and took the stone that he had put [for] his pillows, and set it up [for] a pillar, and poured oil upon the top of it.
Genesis 28:19	And he called the name of that place Bethel: but the name of that city [was called] Luz at the first.
Genesis 28:20	And Jacob vowed a vow, saying, 

Genesis 29:1	Then Jacob went on his journey, and came into the land of the people of the east.
Genesis 29:2	And he looked, and behold a well in the field, and, lo, there [were] three flocks of sheep lying by it; for out of that well they watered the flocks: and a great stone [was] upon the well’s mouth.
Genesis 29:3	And thither were all the flocks gathered: and they rolled the stone from the well’s mouth, and watered the sheep, and put the stone again upon the well’s mouth in his place.
Genesis 29:4	And Jacob said unto them, 
 And they said, Of Haran [are] we.
Genesis 29:5	And he said unto them, 
And they said, We know [him].
Genesis 29:6	And he said unto them, 
 And they said, [He is] well: and, behold, Rachel his daughter cometh with the sheep.
Genesis 29:7	And he said, 

Genesis 29:8	And they said, We cannot, until all the flocks be gathered together, and [till] they roll the stone from the well’s mouth; then we water the sheep.
Genesis 29:9	And while he yet spake with them, Rachel came with her father’s sheep: for she kept them.
Genesis 29:10	And it came to pass, when Jacob saw Rachel the daughter of Laban his mother’s brother, and the sheep of Laban his mother’s brother, that Jacob went near, and rolled the stone from the well’s mouth, and watered the flock of Laban his mother’s brother.
Genesis 29:11	And Jacob kissed Rachel, and lifted up his voice, and wept.
Genesis 29:12	And Jacob told Rachel that he [was] her father’s brother, and that he [was] Rebekah’s son: and she ran and told her father.
Genesis 29:13	And it came to pass, when Laban heard the tidings of Jacob his sister’s son, that he ran to meet him, and embraced him, and kissed him, and brought him to his house. And he told Laban all these things.
Genesis 29:14	And Laban said to him,

Genesis 29:15	And Laban said unto Jacob, 

Genesis 29:16	And Laban had two daughters: the name of the elder [was] Leah, and the name of the younger [was] Rachel.
Genesis 29:17	Leah [was] tender eyed; but Rachel was beautiful and well favoured.
Genesis 29:18	And Jacob loved Rachel; and said, 

Genesis 29:19	And Laban said, 

Genesis 29:20	And Jacob served seven years for Rachel; and they seemed unto him [but] a few days, for the love he had to her.
Genesis 29:21	And Jacob said unto Laban, 

Genesis 29:22	And Laban gathered together all the men of the place, and made a feast.
Genesis 29:23	And it came to pass in the evening, that he took Leah his daughter, and brought her to him; and he went in unto her.
Genesis 29:24	And Laban gave unto his daughter Leah Zilpah his maid [for] an handmaid.
Genesis 29:25	And it came to pass, that in the morning, behold, it [was] Leah: and he said to Laban,

Genesis 29:26	And Laban said, 

Genesis 29:28	And Jacob did so, and fulfilled her week: and he gave him Rachel his daughter to wife also.
Genesis 29:29	And Laban gave to Rachel his daughter Bilhah his handmaid to be her maid.
Genesis 29:30	And he went in also unto Rachel, and he loved also Rachel more than Leah, and served with him yet seven other years.
Genesis 29:31	And when the LORD saw that Leah [was] hated, he opened her womb: but Rachel [was] barren.
Genesis 29:32	And Leah conceived, and bare a son, and she called his name Reuben: for she said, 

Genesis 29:33	And she conceived again, and bare a son; and said,

Genesis 29:34	And she conceived again, and bare a son; and said, 

Genesis 29:35	And she conceived again, and bare a son: and she said, 
 therefore she called his name Judah; and left bearing.
Genesis 30:1	And when Rachel saw that she bare Jacob no children, Rachel envied her sister; and said unto Jacob, 

Genesis 30:2	And Jacob’s anger was kindled against Rachel: and he said, 

Genesis 30:3	And she said, 

Genesis 30:4	And she gave him Bilhah her handmaid to wife: and Jacob went in unto her.
Genesis 30:5	And Bilhah conceived, and bare Jacob a son.
Genesis 30:6	And Rachel said, 

Genesis 30:7	And Bilhah Rachel’s maid conceived again, and bare Jacob a second son.
Genesis 30:8	And Rachel said, 
 and she called his name Naphtali.
Genesis 30:9	When Leah saw that she had left bearing, she took Zilpah her maid, and gave her Jacob to wife.
Genesis 30:10	And Zilpah Leah’s maid bare Jacob a son.
Genesis 30:11	And Leah said, 
and she called his name Gad.
Genesis 30:12	And Zilpah Leah’s maid bare Jacob a second son.
Genesis 30:13	And Leah said, 
and she called his name Asher.
Genesis 30:14	And Reuben went in the days of wheat harvest, and found mandrakes in the field, and brought them unto his mother Leah. Then Rachel said to Leah, 

Genesis 30:15	And she said unto her, 
 And Rachel said, 
Genesis 30:16	And Jacob came out of the field in the evening, and Leah went out to meet him, and said, 
 And he lay with her that night.
Genesis 30:17	And God hearkened unto Leah, and she conceived, and bare Jacob the fifth son.
Genesis 30:18	And Leah said, 
 and she called his name Issachar.
Genesis 30:19	And Leah conceived again, and bare Jacob the sixth son.
Genesis 30:20	And Leah said, 
 and she called his name Zebulun.
Genesis 30:21	And afterwards she bare a daughter, and called her name Dinah.
Genesis 30:22	And God remembered Rachel, and God hearkened to her, and opened her womb.
Genesis 30:23	And she conceived, and bare a son; and said, 

Genesis 30:24	And she called his name Joseph; and said, 

Genesis 30:25	And it came to pass, when Rachel had born Joseph, that Jacob said unto Laban, 

Genesis 30:27	And Laban said unto him, 

Genesis 30:29	And he said unto him, 


Genesis 30:31	And he said, What shall I give thee? And Jacob said, 

Genesis 30:34	And Laban said, 

Genesis 30:35	And he removed that day the he goats that were ringstraked and spotted, and all the she goats that were speckled and spotted, [and] every one that had [some] white in it, and all the brown among the sheep, and gave [them] into the hand of his sons.
Genesis 30:36	And he set three days’ journey betwixt himself and Jacob: and Jacob fed the rest of Laban’s flocks.
Genesis 30:37	And Jacob took him rods of green poplar, and of the hazel and chesnut tree; and pilled white strakes in them, and made the white appear which [was] in the rods.
Genesis 30:38	And he set the rods which he had pilled before the flocks in the gutters in the watering troughs when the flocks came to drink, that they should conceive when they came to drink.
Genesis 30:39	And the flocks conceived before the rods, and brought forth cattle ringstraked, speckled, and spotted.
Genesis 30:40	And Jacob did separate the lambs, and set the faces of the flocks toward the ringstraked, and all the brown in the flock of Laban; and he put his own flocks by themselves, and put them not unto Laban’s cattle.
Genesis 30:41	And it came to pass, whensoever the stronger cattle did conceive, that Jacob laid the rods before the eyes of the cattle in the gutters, that they might conceive among the rods.
Genesis 30:42	But when the cattle were feeble, he put [them] not in: so the feebler were Laban’s, and the stronger Jacob’s.
Genesis 30:43	And the man increased exceedingly, and had much cattle, and maidservants, and menservants, and camels, and asses.
Genesis 31:1	And he heard the words of Laban’s sons, saying, Jacob hath taken away all that [was] our father’s; and of [that] which [was] our father’s hath he gotten all this glory.
Genesis 31:2	And Jacob beheld the countenance of Laban, and, behold, it [was] not toward him as before.
Genesis 31:3	And the LORD said unto Jacob, Return unto the land of thy fathers, and to thy kindred; and I will be with thee.
Genesis 31:4	And Jacob sent and called Rachel and Leah to the field unto his flock,
Genesis 31:5	And said unto them, I see your father’s countenance, that it [is] not toward me as before; but the God of my father hath been with me.
Genesis 31:6	And ye know that with all my power I have served your father.
Genesis 31:7	And your father hath deceived me, and changed my wages ten times; but God suffered him not to hurt me.
Genesis 31:8	If he said thus, The speckled shall be thy wages; then all the cattle bare speckled: and if he said thus, The ringstraked shall be thy hire; then bare all the cattle ringstraked.
Genesis 31:9	Thus God hath taken away the cattle of your father, and given [them] to me.
Genesis 31:10	And it came to pass at the time that the cattle conceived, that I lifted up mine eyes, and saw in a dream, and, behold, the rams which leaped upon the cattle [were] ringstraked, speckled, and grisled.
Genesis 31:11	And the angel of God spake unto me in a dream, [saying], Jacob: And I said, Here [am] I.
Genesis 31:12	And he said, Lift up now thine eyes, and see, all the rams which leap upon the cattle [are] ringstraked, speckled, and grisled: for I have seen all that Laban doeth unto thee.
Genesis 31:13	I [am] the God of Bethel, where thou anointedst the pillar, [and] where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.
Genesis 31:14	And Rachel and Leah answered and said unto him, [Is there] yet any portion or inheritance for us in our father’s house?
Genesis 31:15	Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.
Genesis 31:16	For all the riches which God hath taken from our father, that [is] ours, and our children’s: now then, whatsoever God hath said unto thee, do.
Genesis 31:17	Then Jacob rose up, and set his sons and his wives upon camels;
Genesis 31:18	And he carried away all his cattle, and all his goods which he had gotten, the cattle of his getting, which he had gotten in Padanaram, for to go to Isaac his father in the land of Canaan.
Genesis 31:19	And Laban went to shear his sheep: and Rachel had stolen the images that [were] her father’s.
Genesis 31:20	And Jacob stole away unawares to Laban the Syrian, in that he told him not that he fled.
Genesis 31:21	So he fled with all that he had; and he rose up, and passed over the river, and set his face [toward] the mount Gilead.
Genesis 31:22	And it was told Laban on the third day that Jacob was fled.
Genesis 31:23	And he took his brethren with him, and pursued after him seven days’ journey; and they overtook him in the mount Gilead.
Genesis 31:24	And God came to Laban the Syrian in a dream by night, and said unto him, Take heed that thou speak not to Jacob either good or bad.
Genesis 31:25	Then Laban overtook Jacob. Now Jacob had pitched his tent in the mount: and Laban with his brethren pitched in the mount of Gilead.
Genesis 31:26	And Laban said to Jacob, What hast thou done, that thou hast stolen away unawares to me, and carried away my daughters, as captives [taken] with the sword?
Genesis 31:27	Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?
Genesis 31:28	And hast not suffered me to kiss my sons and my daughters? thou hast now done foolishly in [so] doing.
Genesis 31:29	It is in the power of my hand to do you hurt: but the God of your father spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad.
Genesis 31:30	And now, [though] thou wouldest needs be gone, because thou sore longedst after thy father’s house, [yet] wherefore hast thou stolen my gods?
Genesis 31:31	And Jacob answered and said to Laban, Because I was afraid: for I said, Peradventure thou wouldest take by force thy daughters from me.
Genesis 31:32	With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what [is] thine with me, and take [it] to thee. For Jacob knew not that Rachel had stolen them.
Genesis 31:33	And Laban went into Jacob’s tent, and into Leah’s tent, and into the two maidservants’ tents; but he found [them] not. Then went he out of Leah’s tent, and entered into Rachel’s tent.
Genesis 31:34	Now Rachel had taken the images, and put them in the camel’s furniture, and sat upon them. And Laban searched all the tent, but found [them] not.
Genesis 31:35	And she said to her father, Let it not displease my lord that I cannot rise up before thee; for the custom of women [is] upon me. And he searched, but found not the images.
Genesis 31:36	And Jacob was wroth, and chode with Laban: and Jacob answered and said to Laban, What [is] my trespass? what [is] my sin, that thou hast so hotly pursued after me?
Genesis 31:37	Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set [it] here before my brethren and thy brethren, that they may judge betwixt us both.
Genesis 31:38	This twenty years [have] I [been] with thee; thy ewes and thy she goats have not cast their young, and the rams of thy flock have I not eaten.
Genesis 31:39	That which was torn [of beasts] I brought not unto thee; I bare the loss of it; of my hand didst thou require it, [whether] stolen by day, or stolen by night.
Genesis 31:40	[Thus] I was; in the day the drought consumed me, and the frost by night; and my sleep departed from mine eyes.
Genesis 31:41	Thus have I been twenty years in thy house; I served thee fourteen years for thy two daughters, and six years for thy cattle: and thou hast changed my wages ten times.
Genesis 31:42	Except the God of my father, the God of Abraham, and the fear of Isaac, had been with me, surely thou hadst sent me away now empty. God hath seen mine affliction and the labour of my hands, and rebuked [thee] yesternight.
Genesis 31:43	And Laban answered and said unto Jacob, [These] daughters [are] my daughters, and [these] children [are] my children, and [these] cattle [are] my cattle, and all that thou seest [is] mine: and what can I do this day unto these my daughters, or unto their children which they have born?
Genesis 31:44	Now therefore come thou, let us make a covenant, I and thou; and let it be for a witness between me and thee.
Genesis 31:45	And Jacob took a stone, and set it up [for] a pillar.
Genesis 31:46	And Jacob said unto his brethren, Gather stones; and they took stones, and made an heap: and they did eat there upon the heap.
Genesis 31:47	And Laban called it Jegarsahadutha: but Jacob called it Galeed.
Genesis 31:48	And Laban said, This heap [is] a witness between me and thee this day. Therefore was the name of it called Galeed;
Genesis 31:49	And Mizpah; for he said, The LORD watch between me and thee, when we are absent one from another.
Genesis 31:50	If thou shalt afflict my daughters, or if thou shalt take [other] wives beside my daughters, no man [is] with us; see, God [is] witness betwixt me and thee.
Genesis 31:51	And Laban said to Jacob, Behold this heap, and behold [this] pillar, which I have cast betwixt me and thee;
Genesis 31:52	This heap [be] witness, and [this] pillar [be] witness, that I will not pass over this heap to thee, and that thou shalt not pass over this heap and this pillar unto me, for harm.
Genesis 31:53	The God of Abraham, and the God of Nahor, the God of their father, judge betwixt us. And Jacob sware by the fear of his father Isaac.
Genesis 31:54	Then Jacob offered sacrifice upon the mount, and called his brethren to eat bread: and they did eat bread, and tarried all night in the mount.
Genesis 31:55	And early in the morning Laban rose up, and kissed his sons and his daughters, and blessed them: and Laban departed, and returned unto his place.
Genesis 32:1	And Jacob went on his way, and the angels of God met him.
Genesis 32:2	And when Jacob saw them, he said, This [is] God’s host: and he called the name of that place Mahanaim.
Genesis 32:3	And Jacob sent messengers before him to Esau his brother unto the land of Seir, the country of Edom.
Genesis 32:4	And he commanded them, saying, Thus shall ye speak unto my lord Esau; Thy servant Jacob saith thus, I have sojourned with Laban, and stayed there until now:
Genesis 32:5	And I have oxen, and asses, flocks, and menservants, and womenservants: and I have sent to tell my lord, that I may find grace in thy sight.
Genesis 32:6	And the messengers returned to Jacob, saying, We came to thy brother Esau, and also he cometh to meet thee, and four hundred men with him.
Genesis 32:7	Then Jacob was greatly afraid and distressed: and he divided the people that [was] with him, and the flocks, and herds, and the camels, into two bands;
Genesis 32:8	And said, If Esau come to the one company, and smite it, then the other company which is left shall escape.
Genesis 32:9	And Jacob said, O God of my father Abraham, and God of my father Isaac, the LORD which saidst unto me, Return unto thy country, and to thy kindred, and I will deal well with thee:
Genesis 32:10	I am not worthy of the least of all the mercies, and of all the truth, which thou hast shewed unto thy servant; for with my staff I passed over this Jordan; and now I am become two bands.
Genesis 32:11	Deliver me, I pray thee, from the hand of my brother, from the hand of Esau: for I fear him, lest he will come and smite me, [and] the mother with the children.
Genesis 32:12	And thou saidst, I will surely do thee good, and make thy seed as the sand of the sea, which cannot be numbered for multitude.
Genesis 32:13	And he lodged there that same night; and took of that which came to his hand a present for Esau his brother;
Genesis 32:14	Two hundred she goats, and twenty he goats, two hundred ewes, and twenty rams,
Genesis 32:15	Thirty milch camels with their colts, forty kine, and ten bulls, twenty she asses, and ten foals.
Genesis 32:16	And he delivered [them] into the hand of his servants, every drove by themselves; and said unto his servants, Pass over before me, and put a space betwixt drove and drove.
Genesis 32:17	And he commanded the foremost, saying, When Esau my brother meeteth thee, and asketh thee, saying, Whose [art] thou? and whither goest thou? and whose [are] these before thee?
Genesis 32:18	Then thou shalt say, [They be] thy servant Jacob’s; it [is] a present sent unto my lord Esau: and, behold, also he [is] behind us.
Genesis 32:19	And so commanded he the second, and the third, and all that followed the droves, saying, On this manner shall ye speak unto Esau, when ye find him.
Genesis 32:20	And say ye moreover, Behold, thy servant Jacob [is] behind us. For he said, I will appease him with the present that goeth before me, and afterward I will see his face; peradventure he will accept of me.
Genesis 32:21	So went the present over before him: and himself lodged that night in the company.
Genesis 32:22	And he rose up that night, and took his two wives, and his two womenservants, and his eleven sons, and passed over the ford Jabbok.
Genesis 32:23	And he took them, and sent them over the brook, and sent over that he had.
Genesis 32:24	And Jacob was left alone; and there wrestled a man with him until the breaking of the day.
Genesis 32:25	And when he saw that he prevailed not against him, he touched the hollow of his thigh; and the hollow of Jacob’s thigh was out of joint, as he wrestled with him.
Genesis 32:26	And he said, Let me go, for the day breaketh. And he said, I will not let thee go, except thou bless me.
Genesis 32:27	And he said unto him, What [is] thy name? And he said, Jacob.
Genesis 32:28	And he said, Thy name shall be called no more Jacob, but Israel: for as a prince hast thou power with God and with men, and hast prevailed.
Genesis 32:29	And Jacob asked [him], and said, Tell [me], I pray thee, thy name. And he said, Wherefore [is] it [that] thou dost ask after my name? And he blessed him there.
Genesis 32:30	And Jacob called the name of the place Peniel: for I have seen God face to face, and my life is preserved.
Genesis 32:31	And as he passed over Penuel the sun rose upon him, and he halted upon his thigh.
Genesis 32:32	Therefore the children of Israel eat not [of] the sinew which shrank, which [is] upon the hollow of the thigh, unto this day: because he touched the hollow of Jacob’s thigh in the sinew that shrank.
Genesis 33:1	And Jacob lifted up his eyes, and looked, and, behold, Esau came, and with him four hundred men. And he divided the children unto Leah, and unto Rachel, and unto the two handmaids.
Genesis 33:2	And he put the handmaids and their children foremost, and Leah and her children after, and Rachel and Joseph hindermost.
Genesis 33:3	And he passed over before them, and bowed himself to the ground seven times, until he came near to his brother.
Genesis 33:4	And Esau ran to meet him, and embraced him, and fell on his neck, and kissed him: and they wept.
Genesis 33:5	And he lifted up his eyes, and saw the women and the children; and said, Who [are] those with thee? And he said, The children which God hath graciously given thy servant.
Genesis 33:6	Then the handmaidens came near, they and their children, and they bowed themselves.
Genesis 33:7	And Leah also with her children came near, and bowed themselves: and after came Joseph near and Rachel, and they bowed themselves.
Genesis 33:8	And he said, What [meanest] thou by all this drove which I met? And he said, [These are] to find grace in the sight of my lord.
Genesis 33:9	And Esau said, I have enough, my brother; keep that thou hast unto thyself.
Genesis 33:10	And Jacob said, Nay, I pray thee, if now I have found grace in thy sight, then receive my present at my hand: for therefore I have seen thy face, as though I had seen the face of God, and thou wast pleased with me.
Genesis 33:11	Take, I pray thee, my blessing that is brought to thee; because God hath dealt graciously with me, and because I have enough. And he urged him, and he took [it].
Genesis 33:12	And he said, Let us take our journey, and let us go, and I will go before thee.
Genesis 33:13	And he said unto him, My lord knoweth that the children [are] tender, and the flocks and herds with young [are] with me: and if men should overdrive them one day, all the flock will die.
Genesis 33:14	Let my lord, I pray thee, pass over before his servant: and I will lead on softly, according as the cattle that goeth before me and the children be able to endure, until I come unto my lord unto Seir.
Genesis 33:15	And Esau said, Let me now leave with thee [some] of the folk that [are] with me. And he said, What needeth it? let me find grace in the sight of my lord.
Genesis 33:16	So Esau returned that day on his way unto Seir.
Genesis 33:17	And Jacob journeyed to Succoth, and built him an house, and made booths for his cattle: therefore the name of the place is called Succoth.
Genesis 33:18	And Jacob came to Shalem, a city of Shechem, which [is] in the land of Canaan, when he came from Padanaram; and pitched his tent before the city.
Genesis 33:19	And he bought a parcel of a field, where he had spread his tent, at the hand of the children of Hamor, Shechem’s father, for an hundred pieces of money.
Genesis 33:20	And he erected there an altar, and called it EleloheIsrael.
Genesis 34:1	And Dinah the daughter of Leah, which she bare unto Jacob, went out to see the daughters of the land.
Genesis 34:2	And when Shechem the son of Hamor the Hivite, prince of the country, saw her, he took her, and lay with her, and defiled her.
Genesis 34:3	And his soul clave unto Dinah the daughter of Jacob, and he loved the damsel, and spake kindly unto the damsel.
Genesis 34:4	And Shechem spake unto his father Hamor, saying, Get me this damsel to wife.
Genesis 34:5	And Jacob heard that he had defiled Dinah his daughter: now his sons were with his cattle in the field: and Jacob held his peace until they were come.
Genesis 34:6	And Hamor the father of Shechem went out unto Jacob to commune with him.
Genesis 34:7	And the sons of Jacob came out of the field when they heard [it]: and the men were grieved, and they were very wroth, because he had wrought folly in Israel in lying with Jacob’s daughter; which thing ought not to be done.
Genesis 34:8	And Hamor communed with them, saying, The soul of my son Shechem longeth for your daughter: I pray you give her him to wife.
Genesis 34:9	And make ye marriages with us, [and] give your daughters unto us, and take our daughters unto you.
Genesis 34:10	And ye shall dwell with us: and the land shall be before you; dwell and trade ye therein, and get you possessions therein.
Genesis 34:11	And Shechem said unto her father and unto her brethren, Let me find grace in your eyes, and what ye shall say unto me I will give.
Genesis 34:12	Ask me never so much dowry and gift, and I will give according as ye shall say unto me: but give me the damsel to wife.
Genesis 34:13	And the sons of Jacob answered Shechem and Hamor his father deceitfully, and said, because he had defiled Dinah their sister:
Genesis 34:14	And they said unto them, We cannot do this thing, to give our sister to one that is uncircumcised; for that [were] a reproach unto us:
Genesis 34:15	But in this will we consent unto you: If ye will be as we [be], that every male of you be circumcised;
Genesis 34:16	Then will we give our daughters unto you, and we will take your daughters to us, and we will dwell with you, and we will become one people.
Genesis 34:17	But if ye will not hearken unto us, to be circumcised; then will we take our daughter, and we will be gone.
Genesis 34:18	And their words pleased Hamor, and Shechem Hamor’s son.
Genesis 34:19	And the young man deferred not to do the thing, because he had delight in Jacob’s daughter: and he [was] more honourable than all the house of his father.
Genesis 34:20	And Hamor and Shechem his son came unto the gate of their city, and communed with the men of their city, saying,
Genesis 34:21	These men [are] peaceable with us; therefore let them dwell in the land, and trade therein; for the land, behold, [it is] large enough for them; let us take their daughters to us for wives, and let us give them our daughters.
Genesis 34:22	Only herein will the men consent unto us for to dwell with us, to be one people, if every male among us be circumcised, as they [are] circumcised.
Genesis 34:23	[Shall] not their cattle and their substance and every beast of theirs [be] ours? only let us consent unto them, and they will dwell with us.
Genesis 34:24	And unto Hamor and unto Shechem his son hearkened all that went out of the gate of his city; and every male was circumcised, all that went out of the gate of his city.
Genesis 34:25	And it came to pass on the third day, when they were sore, that two of the sons of Jacob, Simeon and Levi, Dinah’s brethren, took each man his sword, and came upon the city boldly, and slew all the males.
Genesis 34:26	And they slew Hamor and Shechem his son with the edge of the sword, and took Dinah out of Shechem’s house, and went out.
Genesis 34:27	The sons of Jacob came upon the slain, and spoiled the city, because they had defiled their sister.
Genesis 34:28	They took their sheep, and their oxen, and their asses, and that which [was] in the city, and that which [was] in the field,
Genesis 34:29	And all their wealth, and all their little ones, and their wives took they captive, and spoiled even all that [was] in the house.
Genesis 34:30	And Jacob said to Simeon and Levi, Ye have troubled me to make me to stink among the inhabitants of the land, among the Canaanites and the Perizzites: and I [being] few in number, they shall gather themselves together against me, and slay me; and I shall be destroyed, I and my house.
Genesis 34:31	And they said, Should he deal with our sister as with an harlot?
Genesis 35:1	And God said unto Jacob, Arise, go up to Bethel, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.
Genesis 35:2	Then Jacob said unto his household, and to all that [were] with him, Put away the strange gods that [are] among you, and be clean, and change your garments:
Genesis 35:3	And let us arise, and go up to Bethel; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.
Genesis 35:4	And they gave unto Jacob all the strange gods which [were] in their hand, and [all their] earrings which [were] in their ears; and Jacob hid them under the oak which [was] by Shechem.
Genesis 35:5	And they journeyed: and the terror of God was upon the cities that [were] round about them, and they did not pursue after the sons of Jacob.
Genesis 35:6	So Jacob came to Luz, which [is] in the land of Canaan, that [is], Bethel, he and all the people that [were] with him.
Genesis 35:7	And he built there an altar, and called the place Elbethel: because there God appeared unto him, when he fled from the face of his brother.
Genesis 35:8	But Deborah Rebekah’s nurse died, and she was buried beneath Bethel under an oak: and the name of it was called Allonbachuth.
Genesis 35:9	And God appeared unto Jacob again, when he came out of Padanaram, and blessed him.
Genesis 35:10	And God said unto him, Thy name [is] Jacob: thy name shall not be called any more Jacob, but Israel shall be thy name: and he called his name Israel.
Genesis 35:11	And God said unto him, I [am] God Almighty: be fruitful and multiply; a nation and a company of nations shall be of thee, and kings shall come out of thy loins;
Genesis 35:12	And the land which I gave Abraham and Isaac, to thee I will give it, and to thy seed after thee will I give the land.
Genesis 35:13	And God went up from him in the place where he talked with him.
Genesis 35:14	And Jacob set up a pillar in the place where he talked with him, [even] a pillar of stone: and he poured a drink offering thereon, and he poured oil thereon.
Genesis 35:15	And Jacob called the name of the place where God spake with him, Bethel.
Genesis 35:16	And they journeyed from Bethel; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.
Genesis 35:17	And it came to pass, when she was in hard labour, that the midwife said unto her, Fear not; thou shalt have this son also.
Genesis 35:18	And it came to pass, as her soul was in departing, (for she died) that she called his name Benoni: but his father called him Benjamin.
Genesis 35:19	And Rachel died, and was buried in the way to Ephrath, which [is] Bethlehem.
Genesis 35:20	And Jacob set a pillar upon her grave: that [is] the pillar of Rachel’s grave unto this day.
Genesis 35:21	And Israel journeyed, and spread his tent beyond the tower of Edar.
Genesis 35:22	And it came to pass, when Israel dwelt in that land, that Reuben went and lay with Bilhah his father’s concubine: and Israel heard [it]. Now the sons of Jacob were twelve:
Genesis 35:23	The sons of Leah; Reuben, Jacob’s firstborn, and Simeon, and Levi, and Judah, and Issachar, and Zebulun:
Genesis 35:24	The sons of Rachel; Joseph, and Benjamin:
Genesis 35:25	And the sons of Bilhah, Rachel’s handmaid; Dan, and Naphtali:
Genesis 35:26	And the sons of Zilpah, Leah’s handmaid; Gad, and Asher: these [are] the sons of Jacob, which were born to him in Padanaram.
Genesis 35:27	And Jacob came unto Isaac his father unto Mamre, unto the city of Arbah, which [is] Hebron, where Abraham and Isaac sojourned.
Genesis 35:28	And the days of Isaac were an hundred and fourscore years.
Genesis 35:29	And Isaac gave up the ghost, and died, and was gathered unto his people, [being] old and full of days: and his sons Esau and Jacob buried him.
Genesis 36:1	Now these [are] the generations of Esau, who [is] Edom.
Genesis 36:2	Esau took his wives of the daughters of Canaan; Adah the daughter of Elon the Hittite, and Aholibamah the daughter of Anah the daughter of Zibeon the Hivite;
Genesis 36:3	And Bashemath Ishmael’s daughter, sister of Nebajoth.
Genesis 36:4	And Adah bare to Esau Eliphaz; and Bashemath bare Reuel;
Genesis 36:5	And Aholibamah bare Jeush, and Jaalam, and Korah: these [are] the sons of Esau, which were born unto him in the land of Canaan.
Genesis 36:6	And Esau took his wives, and his sons, and his daughters, and all the persons of his house, and his cattle, and all his beasts, and all his substance, which he had got in the land of Canaan; and went into the country from the face of his brother Jacob.
Genesis 36:7	For their riches were more than that they might dwell together; and the land wherein they were strangers could not bear them because of their cattle.
Genesis 36:8	Thus dwelt Esau in mount Seir: Esau [is] Edom.
Genesis 36:9	And these [are] the generations of Esau the father of the Edomites in mount Seir:
Genesis 36:10	These [are] the names of Esau’s sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Bashemath the wife of Esau.
Genesis 36:11	And the sons of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.
